,Latitude,Longitude,id,City,Country Code,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
84,-34.76667,148.816666,2174406,Canberra,AU,59,38,20,19.46
85,46.239208,11.21208,3168632,Pergine Valsugana,IT,60.81,75,32,0.69
86,47.284939,12.94291,7873331,Saalfelden,AT,62.6,77,0,5.82
87,46.852619,31.38802,712387,Berezanka,UA,67.29,98,24,2.93
88,41.72583,46.408329,587070,Qabaqcol,AZ,75.2,73,0,9.17
89,43.900002,25.366671,665140,Tiganesti,RO,65.58,100,92,3.15
90,8.991944,-64.481392,3647522,El Tigre,VE,74.67,94,68,7.63
91,46.394722,39.761112,541484,Kislyakovskaya,RU,67.74,91,0,13.78
92,53.566669,9.18333,2918065,Bremervorde,DE,73.4,77,20,6.93
93,49.105431,17.39426,3063321,Stare Mesto,CZ,66.2,72,0,6.93
94,11.82098,99.784103,1151074,Prachuap Khiri Khan,TH,77.37,94,88,5.95
95,37.877361,14.95012,2523641,Randazzo,IT,77,82,0,3.36
96,47.11314,7.11678,2661017,Nidau,CH,68,93,0,1.12
97,-26.716669,-55.083328,3437681,Natalio,PY,57.75,98,80,1.81
98,-19.231939,-43.023331,3463399,Itabira,BR,50.28,81,0,5.95
99,42.090038,14.20531,3177202,Guardiagrele,IT,68,77,0,4.7
100,39.074718,117.30056,1814691,Xianshuigu,CN,82.4,83,75,11.18
101,-20.28389,-50.246391,3463432,Fernandopolis,BR,66.03,53,8,5.06
102,37.23526,-4.48714,2518993,Rute,ES,84.2,55,0,3.36
103,45.214169,39.121387,802498,Agronom,RU,75.2,78,20,8.95
104,14.98333,102.650002,1603235,Huai Thalaeng,TH,86,70,20,6.93
105,20.48333,-99.23333,3526708,Ixmiquilpan,MX,64.5,64,0,4.83
106,-6.1601,105.911301,7792463,Cilegon,ID,81.51,99,64,4.16
107,48.833328,0.41667,6439285,Bernay,FR,62.6,82,0,6.93
108,-8.55,120.249901,7414475,Ruteng,ID,81.87,78,0,2.15
109,50.60199,11.80966,6559300,Neustadt,DE,60.8,87,0,1.12
110,49.233849,23.65111,690745,Ulychne,UA,64.4,88,75,4.47
111,48.98333,-0.48333,6427517,Mondeville,FR,60.8,93,0,2.24
112,16.0874,119.9245,1722100,Cabilocaan,PH,80.79,100,64,6.06
113,19.01441,72.847939,1275339,Bombay,IN,82.4,83,75,11.41
114,14.6072,-61.069401,6690660,Fort-De-France,MQ,78.8,78,40,6.93
115,51.41082,-0.6748,2656992,Bracknell,GB,69.8,72,48,4.7
116,26.116671,80.383331,1266146,Ghatampur,IN,80.25,98,88,7.4
117,46.041901,11.31051,3164467,Pergine Valsugana,IT,60.81,75,32,0.69
118,48.040089,-122.406258,5800475,Mukilteo,US,87.8,44,1,5.82
119,33.03648,106.00312,7372230,Guangyuan,CN,87.09,60,0,2.59
120,51.466702,13.6167,6547582,Elsterwerda,DE,66.2,68,0,1.12
121,47.0,11.5,3181570,Innsbruck,AT,57.2,87,0,1.12
122,41.60862,2.13532,3109165,Sabadell,ES,73.4,93,0,4.7
123,23.817011,113.180511,1917073,Qingyuan,CN,87.8,70,20,6.71
124,-6.8801,112.450897,8140902,Paciran,ID,82.4,65,20,3.36
125,-41.116669,174.866669,2184889,Porirua,NZ,53.6,58,56,10.29
126,42.06937,-8.64095,6360252,Gondomar,ES,64.4,93,0,3.36
127,48.528881,10.0991,2866487,Langenau,DE,62.6,87,0,2.59
128,12.33333,124.666672,1697549,Cervantes,PH,83.22,100,64,16.58
129,55.732498,38.191666,875319,Elektrougli,RU,64.4,88,0,6.71
130,49.109859,28.174589,711487,Zhmerynka,UA,63.69,97,44,4.94
131,49.054569,4.00343,3035594,Epernay,FR,69.8,68,0,5.82
132,39.091091,-9.2586,2262581,Torres Vedras,PT,64.4,88,20,8.05
133,40.633759,-3.22937,3127267,Guadalajara,ES,66.2,45,0,3.36
134,37.237782,42.570278,392051,Silopi,TR,66.12,68,0,2.48
135,53.4627,27.213699,620483,Dzerzhinsk,BY,64.95,96,92,8.19
136,-45.466671,-72.816673,3950166,Coihaique,CL,25.35,100,0,1.7
137,43.943401,4.68096,2975492,Villeneuve-Les-Avignon,FR,71.6,94,24,2.71
138,13.4653,123.3899,1728894,Bagumbayan,PH,80.61,100,76,5.17
139,-19.82028,-40.273331,3471848,Aracruz,BR,64.4,93,20,2.24
140,49.461109,8.29222,2923503,Mutterstadt,DE,68,68,0,4.7
141,49.599998,7.88333,2927916,Eisenberg,DE,66.2,59,0,1.12
142,46.433331,0.26667,6445389,Poitiers,FR,66.2,72,0,3.36
143,53.613258,-2.34071,2635604,Bury,GB,55.4,100,40,2.24
144,-28.316669,153.399994,2156049,Murwillumbah,AU,68,60,40,1.12
145,42.033329,-8.65,3129697,Tomino,ES,64.4,93,0,3.36
146,43.20607,-2.91137,6362361,Arrigorriaga,ES,69.8,93,75,1.12
147,49.533329,7.75,2837512,Kaiserslautern,DE,66.2,100,1,3.6
148,27.383333,83.116669,1275522,Bansi,IN,81.33,79,0,4.38
149,45.955688,9.75235,6535180,Zogno,IT,73.4,78,40,4.7
150,6.12104,100.360138,1736309,Alor Setar,MY,86,79,75,4.7
151,47.541351,30.756149,700159,Mykolayivka,UA,64.59,92,56,2.93
152,50.98333,13.55,2910141,Freital,DE,66.2,68,0,1.12
